Gennemsnitligt antal beskæftigede efter periode, socioøkonomisk status, område, køn, branche (DB07), alder og tid;;;;;;;;;;;;;;;;;
Enhed: Antal;;;;;;;;;;;;;;;;;
;;;;;;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;;CF Medicinalindustri;Alder i alt;8041;8393;8783;9524;10598;11184;11010;11399;11467;11886;13012;14567
;;;;;Under 16 år;1;1;2;1;2;2;1;1;1;1;0;0
;;;;;16-19 år;41;28;21;17;27;30;30;29;37;54;64;61
;;;;;20-24 år;143;159;191;237;283;300;260;316;345;365;407;521
;;;;;25-29 år;431;439;497;625;782;921;897;959;957;973;1152;1501
;;;;;30-34 år;931;923;917;998;1091;1226;1293;1364;1384;1519;1712;1971
;;;;;35-39 år;1483;1433;1394;1443;1535;1533;1457;1456;1422;1445;1627;1926
;;;;;40-44 år;1577;1645;1713;1808;1904;1908;1754;1725;1650;1609;1690;1776
;;;;;45-49 år;1436;1569;1656;1743;1872;1912;1846;1859;1853;1876;1974;2001
;;;;;50-54 år;968;1040;1142;1286;1496;1615;1664;1728;1731;1752;1852;1962
;;;;;55-59 år;586;704;782;873;973;1031;1032;1116;1200;1324;1469;1645
;;;;;60-64 år;329;334;351;375;485;543;608;671;716;765;832;895
;;;;;65-66 år;47;51;60;66;72;80;84;81;83;108;139;188
;;;;;67 år og derover;68;67;58;54;75;83;83;94;88;95;95;121
;;;;H Transport;Alder i alt;106133;103616;102353;103739;103048;103684;104037;105033;105991;101783;101843;105715
;;;;;Under 16 år;5274;5485;5190;5138;4566;4651;4786;5208;5680;5374;5246;4872
;;;;;16-19 år;2264;2102;2024;2153;1895;1783;1853;2074;2155;2165;2263;2263
;;;;;20-24 år;5507;5054;5030;5350;5493;5709;5824;6052;6309;6149;6690;7299
;;;;;25-29 år;7437;7071;6979;7069;7100;7176;7304;7610;7842;7693;8087;8866
;;;;;30-34 år;8943;8463;8154;8021;7883;7936;8057;8203;8432;8237;8335;9022
;;;;;35-39 år;11031;10399;10152;10016;9599;9184;8930;8787;8663;8249;8434;8944
;;;;;40-44 år;13027;12199;11643;11447;11304;11150;10786;10497;10165;9395;9059;9360
;;;;;45-49 år;14606;14607;14398;14102;13515;12941;12395;11895;11623;11052;10604;10725
;;;;;50-54 år;13413;13253;13394;13918;14170;14520;14646;14434;13894;12836;12133;11972
;;;;;55-59 år;12083;12144;12199;12477;12691;12918;12964;13134;13321;13036;13106;13531
;;;;;60-64 år;8003;7898;8001;8423;8859;9372;9840;10134;10583;10300;10210;10476
;;;;;65-66 år;1781;1885;1810;1855;1917;1956;2009;2115;2283;2325;2562;2804
;;;;;67 år og derover;2763;3055;3379;3771;4055;4387;4641;4890;5041;4971;5114;5581
;;;;K Finansiering og forsikring;Alder i alt;41125;40320;40324;40325;40531;41144;41894;43454;44291;45239;46002;47396
;;;;;Under 16 år;114;102;110;100;87;79;72;74;64;60;52;56
;;;;;16-19 år;338;310;330;296;297;301;267;337;317;260;235;265
;;;;;20-24 år;1960;1879;1869;1886;2068;2288;2460;2724;2850;2810;2822;3100
;;;;;25-29 år;3521;3416;3416;3432;3435;3472;3792;4154;4432;4766;4938;5253
;;;;;30-34 år;4724;4489;4364;4205;4035;4136;4327;4537;4718;4950;5089;5341
